"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE"
"1","1: Meneer","3.1",1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.037728319","0.261222269",1.77777777777778,0.234692824234974
"2","2: Kuisters","3.1",1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,4,"4.356024362","0.621226069",1.81481481481481,0.244815396683086
"3","3: van","3.1",1,5,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.977250431","0.127318417",1.7037037037037,0.175531872373212
"4","4: de","3.1",1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,2,"5.104568848","0.076830079",1.55555555555556,0.111111111111111
"5","5: viswinkel","3.1",1,6,1,1,2,2,1,1,1,1,2,2,4,1,1,1,2,2,1,2,3,1,1,3,2,2,2,"5.181398928","0.698056149",1.81481481481481,0.220314700047649
"6","6: waar","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"6.338240407","0.118537837",1.66666666666667,0.130744090092123
"7","7: ik","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.456778243","0.103171821",1.62962962962963,0.132348372072216
"8","8: af","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,3,3,3,1,2,2,1,1,2,2,3,1,"6.559950064","0.151465013",1.66666666666667,0.141219757622721
"9","9: en","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.711415077","0.100976676",1.62962962962963,0.132348372072216
"10","10: toe","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.812391753","0.109757256",1.62962962962963,0.132348372072216
"11","11: vrijdagsmiddags","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,5,3,3,1,2,2,1,1,2,2,3,2,"6.922149009","0.800119197",1.77777777777778,0.179690564458364
"12","12: na","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"7.722268206","0.212929077",1.66666666666667,0.130744090092123
"13","13: school","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,4,3,3,1,2,2,1,1,1,2,3,2,"7.935197283","0.27439314",1.7037037037037,0.158472182167218
"14","14: gesneden","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,3,3,4,1,2,5,1,1,1,2,3,2,"8.209590423","0.505230944",2.03703703703704,0.241561170498364
"15","15: zalm","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,2,3,4,1,2,5,1,1,2,2,3,2,"8.714821367","0.357808655",2.03703703703704,0.235590314409436
"16","16: voor","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,5,1,1,2,2,3,2,"9.072630022","0.114147546",1.85185185185185,0.197590209508829
"17","17: mijn","3.1",1,3,1,2,2,2,1,1,1,1,2,2,3,1,1,3,3,4,1,2,5,1,3,2,2,3,2,"9.186777568","0.149269868",2.03703703703704,0.203120117168445
"18","18: moeder","3.1",1,3,1,2,2,2,1,1,1,1,2,2,3,1,1,6,3,4,1,2,5,1,3,3,2,3,2,"9.336047437","0.208538787",2.18518518518519,0.250566520712764
"19","19: moest","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,4,2,2,3,2,"9.544586223","0.228295093",1.85185185185185,0.174627839552387
"20","20: halen","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,2,2,2,3,2,"9.772881316","0.390735832",1.77777777777778,0.154083387840341
"21","21: was","3.1",1,5,1,1,2,2,1,1,1,2,2,3,1,1,1,2,4,2,4,3,2,3,1,2,2,4,3,"10.83987368","0.118537837",2.11111111111111,0.222222222222222
"22","22: een","3.1",1,7,1,1,2,2,1,1,1,2,2,3,3,1,1,2,4,2,4,3,5,3,1,2,2,4,3,"10.95841151","0.08561066",2.37037037037037,0.283185723983799
"23","23: lange","3.1",1,7,2,1,2,2,1,1,1,2,2,3,3,3,1,3,4,2,4,3,5,3,1,2,2,4,4,"11.04402217","0.428053299",2.55555555555556,0.279056884056658
"24","24: schonkige","3.1",1,7,2,1,3,2,1,1,1,2,2,3,3,3,1,1,4,2,4,3,5,3,4,4,2,4,4,"11.7750055","0.63000665",2.7037037037037,0.286519614513382
"25","25: man","3.1",1,7,2,1,3,2,1,1,1,2,2,3,3,3,1,4,4,2,4,3,5,3,1,1,2,4,4,"12.40501215","0.401711557",2.59259259259259,0.288720821883948
"26","26: wiens","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,3,"12.83526059","0.291954301",2.55555555555556,0.268653566589773
"27","27: gezicht","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,3,"13.12721489","0.425858154",2.55555555555556,0.268653566589773
"28","28: hoofdzakelijk","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,4,"13.55307305","0.71339999",2.59259259259259,0.273519111658279
"29","29: uit","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,1,4,3,4,3,5,3,1,3,2,4,4,"14.26647304","0.206343641",2.59259259259259,0.278678501666951
"30","30: plooien","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,1,4,3,4,3,5,3,4,3,2,4,4,"14.53867103","0.344637784",2.7037037037037,0.27639732958712
"31","31: bestond.","3.1",2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,3,2,4,3,"14.88330882","0.526834829",2.59259259259259,0.26826051068566
"32","32: Zijn","3.1",1,5,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,3,"16.45444553","0.144879578",2.2962962962963,0.19107444600692
"33","33: hoofd","3.1",1,5,2,2,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,3,3,1,2,2,3,3,"16.5993251","0.346832929",2.33333333333333,0.192450089729875
"34","34: met","3.1",1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,3,"16.94615803","0.145710839",2.33333333333333,0.21350420507345
"35","35: de","3.1",1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,5,"17.09186887","0.037317467",2.40740740740741,0.234242789642102
"36","36: steile","3.1",1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,6,3,1,3,2,3,5,"17.12918634","0.508176096",2.55555555555556,0.268653566589773
"37","37: rossige","3.1",1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,6,3,1,3,2,3,5,"17.63736244","0.446712032",2.55555555555556,0.268653566589773
"38","38: kuif","3.1",1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,6,3,1,3,2,3,5,"18.17534677","0.384150396",2.59259259259259,0.26826051068566
"39","39: hing","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,1,3,2,4,3,6,3,1,2,2,3,4,"18.89261044","0.164635884",2.22222222222222,0.234692824234974
"40","40: wat","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,"19.05724633","0.158050449",2.18518518518519,0.19272404017422
"41","41: naar","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,"19.21529677","0.111305749",2.18518518518519,0.19272404017422
"42","42: voren","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,"19.32660252","0.354515937",2.18518518518519,0.19272404017422
"43","43: tussen","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,4,3,1,2,2,3,5,"19.75794854","0.214558748",2.25925925925926,0.210768452856771
"44","44: zijn","3.1",1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,2,3,2,4,3,4,3,1,2,2,3,5,"19.97250729","0.17561161",2.2962962962963,0.212265052384654
"45","45: opgetrokken","3.1",1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,3,3,2,4,3,4,3,4,3,2,3,5,"20.24031499","0.563054724",2.48148148148148,0.215961181290567
"46","46: schouders.","3.1",1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,4,3,2,4,3,4,3,2,3,2,3,5,"20.80336972","0.627811505",2.44444444444444,0.215716742976478
"47","47: Hij","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,"22.40762933","0.082317942",2.51851851851852,0.215961181290567
"48","48: sneed","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,4,"22.48994728","0.429150871",2.66666666666667,0.272165526975909
"49","49: de","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,"22.91909815","0.084513087",2.62962962962963,0.267669844624343
"50","50: zalm","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,1,4,2,4,4,4,4,1,2,2,4,3,"23.00361124","0.241465963",2.55555555555556,0.273904621520719
"51","51: met","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,4,4,1,2,2,4,3,"23.2450772","0.166831029",2.48148148148148,0.215961181290567
"52","52: een","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,5,4,1,2,2,4,3,"23.41190823","0.099879103",2.51851851851852,0.228773332192419
"53","53: smal","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,4,4,2,4,4,5,4,1,2,2,4,4,"23.51178733","0.49281008",2.7037037037037,0.243518924744822
"54","54: in","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,1,4,2,4,4,5,4,1,2,2,4,4,"24.35991732","0.09878153",2.59259259259259,0.246105038951501
"55","55: het","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,1,4,2,4,4,5,4,1,2,2,4,4,"24.45869885","0.116342691",2.59259259259259,0.246105038951501
"56","56: midden","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,2,4,2,4,4,5,4,1,2,2,4,4,"24.57504154","0.279881003",2.74074074074074,0.285412644703549
"57","57: uitgesleten","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,3,4,2,4,4,5,4,1,2,2,4,4,"24.85492255","0.729885753",2.77777777777778,0.284115728864866
"58","58: mes","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,2,4,2,4,4,5,4,1,2,2,4,4,"25.5848083","0.413784855",2.74074074074074,0.285412644703549
"59","59: nam","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,1,2,2,4,4,3,4,1,2,2,4,4,"26.68501024","0.217319367",2.48148148148148,0.202339383527803
"60","60: de","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,"26.9023296","0.060366491",2.51851851851852,0.195172291264432
"61","61: plakjes","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"27.02525773","0.40280913",2.55555555555556,0.194901782068229
"62","62: tussen","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,"27.45001831","0.27439314",2.51851851851852,0.195172291264432
"63","63: duim","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"27.72441145","0.276588285",2.55555555555556,0.194901782068229
"64","64: en","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"28.00099974","0.107562111",2.55555555555556,0.194901782068229
"65","65: wijsvinger","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"28.10856185","0.634755481",2.55555555555556,0.194901782068229
"66","66: en","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,2,2,2,4,4,3,4,1,2,2,4,5,"29.13477024","0.087805805",2.55555555555556,0.215716742976478
"67","67: legde","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,"29.22257605","0.294149446",2.66666666666667,0.206724557648681
"68","68: ze","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,1,2,2,4,5,"29.51672549","0.093293668",2.62962962962963,0.214490372931267
"69","69: behoedzaam","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,2,2,2,4,5,"29.61001916","0.554274143",2.66666666666667,0.206724557648681
"70","70: op","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,"30.16429331","0.136098998",2.66666666666667,0.206724557648681
"71","71: elkaar.","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,"30.3003923","0.419272718",2.66666666666667,0.206724557648681
"72","72: Zijn","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"31.60720976","0.130611135",2.88888888888889,0.293972367896066
"73","73: handen","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"31.73782089","0.287564011",2.88888888888889,0.293972367896066
"74","74: waren","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"32.0253849","0.249148971",2.88888888888889,0.293972367896066
"75","75: paarsachtig","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,"32.38319356","0.67281198",3.37037037037037,0.302638671792353
"76","76: rood","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,"33.05600554","0.447983163",3.37037037037037,0.302638671792353
"77","77: en","3.1",6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,"33.97155461","0.107279487",3.33333333333333,0.329032077861883
"78","78: er","3.1",6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,"34.0788341","0.083415515",3.33333333333333,0.329032077861883
