"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE"
"1693","1: Met","24.1",2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,"3.119262056","0.147074723",1.44444444444444,0.0974508910341144
"1695","3: wijsvinger","24.1",2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,"3.400240631","0.575128022",1.51851851851852,0.0979907892986885
"1696","4: scharrel","24.1",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"3.975368653","0.482931927",1.96296296296296,0.037037037037037
"1698","6: behoedzaam","24.1",2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,"4.628424327","0.657065473",1.81481481481481,0.076180865852541
"1699","7: het","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.31951455","0.129513562",1.51851851851852,0.0979907892986885
"1700","8: laatste","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.449028112","0.384150396",1.51851851851852,0.0979907892986885
"1701","9: restje","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.833178508","0.363296518",1.51851851851852,0.0979907892986885
"1702","10: uit","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.196475026","0.162245006",1.48148148148148,0.0979907892986885
"1703","11: een","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.358720032","0.124025699",1.48148148148148,0.0979907892986885
"1704","12: blik.","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.482745731","0.280978576",1.48148148148148,0.0979907892986885
"1706","14: oren","24.1",1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,"7.73515194","0.345735357",1.33333333333333,0.0924500327042048
"1707","15: registreren","24.1",2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,"8.080887297","0.653055674",1.66666666666667,0.0924500327042048
"1708","16: de","24.1",2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,"8.73394297","0.09000095",1.44444444444444,0.0974508910341144
