X1,X2,X308,X309,X310
StartDate,EndDate,Q115,id,RandomID
Start Date,End Date,"Je kunt nu kiezen wat voor beloning je wil voor het deelnemen aan dit onderzoek. Je hebt de keuze tussen een VVV-cadeaukaart ter waarde van €10,- of proefpersoonpunten (1 ppu). Hieronder kun je aangeven wat je voorkeur heeft. Er verschijnt dan een pagina met uitleg over hoe je deze beloning kunt bemachtigen.",id,RandomID
2019-09-03 09:28:00,2019-09-03 10:21:50,B. Proefpersoonpunten (1 ppu),149665,6189453
2019-09-03 11:48:11,2019-09-03 12:25:37,"A. Een VVV-cadeaukaart ter waarde van €10,-",130678,5202879
2019-09-03 13:51:10,2019-09-03 14:38:27,B. Proefpersoonpunten (1 ppu),149935,9318997
2019-09-04 01:27:41,2019-09-04 02:18:52,B. Proefpersoonpunten (1 ppu),122098,3602295
2019-09-04 05:53:08,2019-09-04 06:26:57,B. Proefpersoonpunten (1 ppu),149410,2417675
2019-09-04 06:33:10,2019-09-04 07:15:26,"A. Een VVV-cadeaukaart ter waarde van €10,-",83722,7891178
2019-09-04 07:24:36,2019-09-04 08:01:03,B. Proefpersoonpunten (1 ppu),150076,7473626
2019-09-04 07:44:09,2019-09-04 09:23:55,"A. Een VVV-cadeaukaart ter waarde van €10,-",142408,1908962
2019-09-04 10:03:58,2019-09-04 10:39:36,B. Proefpersoonpunten (1 ppu),149227,2048991
2019-09-04 10:46:11,2019-09-04 11:39:00,"A. Een VVV-cadeaukaart ter waarde van €10,-",132058,4331749
2019-09-04 00:35:42,2019-09-04 12:15:18,"A. Een VVV-cadeaukaart ter waarde van €10,-",147667,9319521
2019-09-05 05:18:47,2019-09-05 06:03:55,"A. Een VVV-cadeaukaart ter waarde van €10,-",133333,2972503
2019-09-05 10:18:24,2019-09-05 11:25:24,B. Proefpersoonpunten (1 ppu),149974,4572812
2019-09-07 05:14:22,2019-09-07 06:03:32,"A. Een VVV-cadeaukaart ter waarde van €10,-",105058,2661423
2019-09-03 10:29:21,2019-09-03 11:12:24,"A. Een VVV-cadeaukaart ter waarde van €10,-",130639,8095207
2019-09-10 10:30:42,2019-09-10 11:43:27,"A. Een VVV-cadeaukaart ter waarde van €10,-",123001,3007513
2019-09-16 02:46:50,2019-09-16 04:04:47,"A. Een VVV-cadeaukaart ter waarde van €10,-",132649,7885032
2019-09-16 07:32:05,2019-09-16 08:08:49,B. Proefpersoonpunten (1 ppu),150199,3586092
2019-09-16 07:44:39,2019-09-16 08:24:33,B. Proefpersoonpunten (1 ppu),151180,3385945
2019-09-16 08:02:29,2019-09-16 08:52:39,B. Proefpersoonpunten (1 ppu),150586,9730011
2019-09-17 05:05:50,2019-09-17 05:50:03,B. Proefpersoonpunten (1 ppu),150847,8391948
2019-09-17 13:46:07,2019-09-17 14:46:02,"A. Een VVV-cadeaukaart ter waarde van €10,-",151057,2701750
2019-09-18 08:37:04,2019-09-19 06:20:58,"A. Een VVV-cadeaukaart ter waarde van €10,-",108391,2203523
2019-09-18 04:29:52,2019-09-22 08:59:06,"A. Een VVV-cadeaukaart ter waarde van €10,-",129988,5096045
,,"A. Een VVV-cadeaukaart ter waarde van €10,-",150802,9225989
