pclass	survived
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
First	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Second	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
