Concept,ln.KF.,Familiarity,Length_Phonemes,Length_Syllables,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Density_No_Tax,Num_Tax,CNC,IMG,household,food,animal,List
broom,0.69,7.65,4,1,13,13,7,55.94,0,613,608,1,,,1
couch,2.56,8.05,3,1,20,19,6,527.36,1,578,536,1,,,1
pot,3.33,7.45,3,1,10,9,0,91.21,1,584,598,1,,,1
spoon,1.79,8.65,4,1,19,18,8,101.29,1,614,584,1,,,1
apple,2.71,8.3,3,2,19,17,4,396.27,2,620,637,,1,,1
grape,2.3,7.1,4,1,18,17,4,395.19,1,611,591,,1,,1
spinach,0.69,5,6,2,11,10,1,354.2,1,589,606,,1,,1
butterfly,1.1,6.15,7,3,15,13,5,112.32,2,593,624,,,1,1
pigeon,1.39,5.8,5,2,14,12,4,394.34,2,609,610,,,1,1
rabbit,2.77,6.05,5,2,14,12,2,44.06,2,635,611,,,1,1
bed,4.93,8.95,3,1,17,16,9,217.57,1,635,635,1,,,2
envelope,3.18,7.9,7,3,11,11,7,0,0,579,554,1,,,2
pencil,3.64,8.6,5,2,16,15,9,29.11,1,617,607,1,,,2
umbrella,2.4,7.35,7,3,11,11,4,0,0,606,592,1,,,2
corn,3.58,7.85,3,1,13,12,6,11.05,1,576,601,,1,,2
lemon,2.94,7.15,5,2,17,16,3,596.14,1,608,632,,1,,2
potato,3.5,8.15,6,3,19,18,7,245.01,1,629,617,,1,,2
chicken,3.91,7.95,5,2,20,18,6,517.13,2,614,619,,,1,2
frog,0.69,5.45,4,1,16,14,3,263.05,2,619,617,,,1,2
turtle,2.2,5.7,4,2,18,14,3,165.52,4,644,564,,,1,2
candle,3.14,7.7,5,2,14,14,9,43.82,0,565,594,1,,,3
lamp,3.18,8.55,4,1,14,13,6,36.29,1,615,575,1,,,3
mirror,3.43,8.4,5,2,11,11,3,24.08,0,605,627,1,,,3
table,5.49,8.95,4,2,11,10,3,31.12,1,604,582,1,,,3
cake,2.77,7.4,3,1,17,14,9,90.76,3,624,624,,1,,3
pickle,0.69,7.35,4,2,18,16,6,233.25,2,606,641,,1,,3
walnut,2.77,5.75,6,2,11,9,1,16.21,2,642,590,,1,,3
ant,2.56,7.55,3,1,12,11,2,26.83,1,604,613,,,1,3
snail,0.69,5.4,4,1,9,9,3,101.94,0,579,577,,,1,3
horse,5.22,6.3,3,1,19,18,4,264.16,1,613,624,,,1,3
hamster,0,6.1,7,2,14,10,3,31.91,4,599,581,,,1,
accordion,0,2.9,7,4,9,8,3,24.1,1,586,576,,,,
alligator,1.39,3.75,8,4,16,14,4,214.62,2,624,627,,,,
ambulance,1.95,6.45,9,3,19,17,9,26,2,595,627,,,,
anchor,2.83,3.85,5,2,14,13,9,16.2,1,595,561,,,,
apartment,4.58,7.8,8,3,18,17,12,101.6,1,575,556,,,,
armour,0.69,2.45,4,2,11,11,3,53.89,0,591,536,,,,
asparagus,0,5.85,9,4,9,8,0,171.4,1,608,590,,1,,
axe,3.22,4.6,3,1,16,14,5,245.12,2,623,597,,,,
bag,3.95,8.55,3,1,12,12,2,91.14,0,603,570,,,,
bagpipe,0,3.2,6,2,9,8,4,49.76,1,601,594,,,,
ball,4.81,8.35,3,1,9,9,1,63.05,0,615,622,,,,
balloon,2.56,7.05,5,2,18,18,9,24.99,0,623,583,,,,
banana,1.61,8.1,6,3,15,14,2,180.99,1,633,644,,1,,
banner,2.3,6.1,5,2,13,12,4,36.02,1,567,569,,,,
barn,3.5,5.6,3,1,17,16,8,42.15,1,614,589,,,,
barrel,3.47,5.05,5,2,11,10,4,11.75,1,590,602,,,,
basement,3.5,7.6,7,2,16,16,9,122.54,0,585,571,1,,,
basket,2.94,6.9,6,2,9,9,6,0,0,606,560,,,,
baton,2.3,3.2,5,2,10,10,6,0,0,570,516,,,,
bayonet,2.2,1.75,6,3,7,6,2,36.74,1,600,548,,,,
bear,4.42,4.55,3,1,19,17,1,146.84,2,585,572,,,,
beaver,1.1,4.05,5,2,15,13,6,119.69,2,589,612,,,,
bedroom,4.03,8.95,6,2,10,9,5,108.43,1,615,629,1,,,
beehive,0,5.1,5,2,8,8,6,0,0,611,572,,,,
beetle,0,4.2,4,2,13,11,0,99.86,2,619,640,,,,
belt,3.61,7.95,4,1,13,11,5,29.39,2,602,494,,,,
bench,3.76,7.6,4,1,11,11,4,0,0,614,555,,,,
birch,1.1,5.5,3,1,10,9,3,238.05,1,620,561,,,,
biscuit,1.95,7.4,6,2,11,10,4,42.23,1,574,571,,1,,
blouse,0.69,7.25,4,1,15,13,3,421.15,2,640,595,,,,
boat,4.81,6.55,3,1,10,10,3,35.46,0,637,631,,,,
bomb,4.26,3.05,3,1,15,13,5,272.81,2,595,606,,,,
book,5.67,8.8,3,1,16,16,13,10.95,0,609,591,,,,
