Concept,ln.KF.,Familiarity,Length_Phonemes,Length_Syllables,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Density_No_Tax,Num_Tax,CNC,IMG,household,food,animal,ListNum
broom,0.69,7.65,4,1,13,13,7,55.94,0,613,608,1,,,1
couch,2.56,8.05,3,1,20,19,6,527.36,1,578,536,1,,,1
pen,3,8.95,3,1,15,15,4,17.29,0,571,576,1,,,1
spoon,1.79,8.65,4,1,19,18,8,101.29,1,614,584,1,,,1
apple,2.71,8.3,3,2,19,17,4,396.27,2,620,637,,1,,1
grape,2.3,7.1,4,1,18,17,4,395.19,1,611,591,,1,,1
spinach,0.69,5,6,2,11,10,1,354.2,1,589,606,,1,,1
pigeon,1.39,5.8,5,2,14,12,4,394.34,2,609,610,,,1,1
cat,3.71,7.65,3,1,20,15,5,147.73,5,615,617,,,1,1
ant,2.56,7.55,3,1,12,11,2,26.83,1,604,613,,,1,1
bed,4.93,8.95,3,1,17,16,9,217.57,1,635,635,1,,,2
envelope,3.18,7.9,7,3,11,11,7,0,0,579,554,1,,,2
pencil,3.64,8.6,5,2,16,15,9,29.11,1,617,607,1,,,2
umbrella,2.4,7.35,7,3,11,11,4,0,0,606,592,1,,,2
corn,3.58,7.85,3,1,13,12,6,11.05,1,576,601,,1,,2
lemon,2.94,7.15,5,2,17,16,3,596.14,1,608,632,,1,,2
potato,3.5,8.15,6,3,19,18,7,245.01,1,629,617,,1,,2
butterfly,1.1,6.15,7,3,15,13,5,112.32,2,593,624,,,1,2
turtle,2.2,5.7,4,2,18,14,3,165.52,4,644,564,,,1,2
horse,5.22,6.3,3,1,19,18,4,264.16,1,613,624,,,1,2
candle,3.14,7.7,5,2,14,14,9,43.82,0,565,594,1,,,3
lamp,3.18,8.55,4,1,14,13,6,36.29,1,615,575,1,,,3
mirror,3.43,8.4,5,2,11,11,3,24.08,0,605,627,1,,,3
table,5.49,8.95,4,2,11,10,3,31.12,1,604,582,1,,,3
cake,2.77,7.4,3,1,17,14,9,90.76,3,624,624,,1,,3
pickle,0.69,7.35,4,2,18,16,6,233.25,2,606,641,,1,,3
walnut,2.77,5.75,6,2,11,9,1,16.21,2,642,590,,1,,3
robin,0.69,5.95,5,2,17,16,5,614.3,1,637,615,,,1,3
frog,0.69,5.45,4,1,16,14,3,263.05,2,619,617,,,1,3
spider,0.69,7.25,6,2,16,15,4,148.69,1,607,597,,,1,3
