"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
1,Accordion,instrument,LOM,LOM,18,1.28,0.57,18,1.17,0.51,19,1.05,0.23,55,1.16,0.46,18,4.06,1,19,3.95,1.27,20,4,1.38,57,4,1.21,19,3.79,0.98,20,3.5,1.4,18,3.61,0.98,57,3.63,1.13,17,4.35,0.7,16,4.38,0.96,17,3.71,1.05,50,4.14,0.95
2,Admin Building,campus location,HON,HON,18,4.56,0.7,18,4.61,0.61,19,4.53,0.84,55,4.56,0.71,18,4.56,2.09,19,5,2.05,20,5.65,2.01,57,5.09,2.06,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
3,Airplane,vehicle,HYN,HYN,18,2.83,1.38,18,2.72,0.96,19,2.26,0.99,55,2.6,1.13,18,2.28,0.89,19,2.42,0.96,20,2.4,0.99,57,2.37,0.94,19,1.05,0.23,20,1,0,18,1.06,0.24,57,1.04,0.19,2,,,1,,,0,,,3,,
4,Anchor,miscellaneous,LON,LON,18,1.33,0.59,18,1.17,0.38,19,1.16,0.37,55,1.22,0.46,18,3.67,1.08,19,3.53,1.26,20,4,1.41,57,3.74,1.26,19,2.53,1.22,19,2.16,1.38,18,2.39,1.2,56,2.36,1.26,8,,,5,,,9,,,22,,
5,animal crackers,food,LYM,LYM,18,1.89,0.76,18,1.83,0.86,19,1.89,1.1,55,1.87,0.9,18,2.22,1.17,19,1.95,1.18,20,1.65,0.59,57,1.93,1.02,19,5,0,18,4.83,0.38,18,5,0,55,4.95,0.23,19,1.74,1.28,19,1.68,1.29,18,1.28,0.57,56,1.57,1.11
6,Ant,animal/insect,LYM,LYN,18,2.33,1.14,18,1.72,0.89,19,2.05,1.18,55,2.04,1.09,18,2.06,0.73,19,2.21,0.79,20,2.1,0.64,57,2.12,0.71,19,3.68,1.49,20,3.9,1.52,18,4.67,0.69,57,4.07,1.35,15,2,1.36,15,2.2,1.66,18,2.28,1.36,48,2.17,1.43
7,Ashtray,recreation,LOM,HOM,18,2.56,1.54,18,1.56,0.78,19,2.05,0.97,55,2.05,1.19,18,3.5,1.54,19,4.11,1.33,20,4.1,1.21,57,3.91,1.37,19,4.53,0.7,20,4.45,1.1,18,4.44,0.98,57,4.47,0.93,19,2.42,1.07,18,2.56,1.38,17,2.76,1.25,54,2.57,1.22
8,axe,toy,LOM,LOM,18,2.28,1.32,18,1.28,0.57,19,1.16,0.5,55,1.56,1,18,3.06,1.06,19,3.63,1.07,20,3.6,1.14,57,3.44,1.1,19,4.42,0.61,19,4.32,1.06,18,4.22,0.81,56,4.32,0.83,19,3.05,1.39,18,2.67,1.33,18,2.5,1.2,55,2.75,1.31
