subject,Story,interesting,wellwritten,of high literary quality,easy to understand,accessible,thrilling,beautiful,fascinating,emotional,sad,Stim,interesting,wellwritten,of high literary quality,easy to understand,accessible,thrilling,beautiful,fascinating,emotional,sad,Story,Sometimes I had the feeling that I could see through the eyes of the main character.,While reading I saw situations that were described to me as if I was there myself.,Sometimes I had the feeling that I was in the environment in which the story took place.,Sometimes I saw the environment in which the story takes place in front of me.,"While reading, I saw situations that were described to me as if I were a silent spectator. ",While reading this story I saw a picture of the main character in front of me.,I felt like the main character felt.,I could empathize with the characters.,I sympathized with the main character.,I shared the protagonist's emotions.,I felt sorry for the protagonist.,"As I read, I could imagine what it would feel like to be in the protagonist's shoes.",I knew exactly which emotions the characters experienced.,I could imagine how the main character felt.,I understood how the main character felt.,Story,Sometimes I had the feeling that I could see through the eyes of the main character.,While reading I saw situations that were described to me as if I was there myself.,Sometimes I had the feeling that I was in the environment in which the story took place.,Sometimes I saw the environment in which the story takes place in front of me.,"While reading, I saw situations that were described to me as if I were a silent spectator. ",While reading this story I saw a picture of the main character in front of me.,I felt like the main character felt.,I could empathize with the characters.,I sympathized with the main character.,I shared the protagonist's emotions.,I felt sorry for the protagonist.,"As I read, I could imagine what it would feel like to be in the protagonist's shoes.",I knew exactly which emotions the characters experienced.,I could imagine how the main character felt.,I understood how the main character felt.,,How much do you like fiction (1-7),How many novels did you read last year? 
1,A,2,1,1,2,2,2,3,3,3,3,B,1,2,2,1,1,2,2,2,3,4,A,3,2,4,3,2,2,3,3,3,4,2,4,4,4,4,B,1,1,1,3,2,1,3,3,3,2,3,3,3,3,3,,6,27.5
2,A,1,1,1,2,2,1,2,2,2,4,B,1,1,2,2,2,1,2,1,2,4,A,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,B,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,,3,20
3,A,1,1,2,1,2,2,2,1,3,3,B,2,2,2,1,2,3,3,3,2,3,A,1,2,2,2,3,3,1,1,2,3,3,2,2,2,2,B,1,2,2,2,2,2,3,3,3,3,3,2,3,3,3,,4,3
4,A,4,1,1,4,4,4,4,4,1,1,B,1,1,1,4,4,1,1,1,1,4,A,1,1,1,1,1,4,4,4,1,4,1,1,4,1,1,B,1,1,4,1,1,1,4,1,1,4,1,1,4,1,1,,6,1
5,A,1,2,2,3,3,2,3,2,3,3,B,1,2,3,2,3,3,3,2,4,3,A,3,2,2,2,2,4,4,2,3,3,4,3,3,2,2,B,3,2,1,1,2,4,4,3,3,3,4,2,4,2,3,,6,2
6,A,2,2,1,3,4,2,3,2,3,4,B,1,1,2,3,3,2,2,2,1,3,A,3,2,3,1,2,3,3,2,3,3,3,2,3,2,3,B,1,2,2,2,2,4,4,3,3,3,2,2,3,3,3,,6,3
8,A,1,4,4,4,4,1,4,1,1,4,B,1,4,4,4,4,4,1,4,1,4,A,1,1,4,1,4,4,4,4,1,4,4,4,4,4,4,B,1,4,4,1,4,4,4,1,1,4,1,4,4,1,4,,7,3
9,A,4,4,4,3,3,4,4,4,4,3,B,1,1,1,4,4,1,1,1,4,4,A,1,1,4,1,1,4,4,4,1,4,4,4,1,1,4,B,4,1,1,1,1,4,1,1,1,4,4,4,1,1,1,,2,80
10,A,1,2,2,2,2,2,2,2,3,4,B,2,1,2,2,2,3,2,2,3,4,A,2,2,2,1,2,3,3,2,2,3,2,2,3,2,3,B,2,2,2,1,3,4,4,3,2,4,3,3,3,2,2,,6,10
12,A,1,1,1,1,4,4,4,1,4,4,B,1,4,4,1,1,1,4,4,4,4,A,1,1,1,1,4,1,4,1,1,4,4,4,1,1,1,B,1,1,4,1,4,1,4,1,1,4,1,4,4,1,1,,6,5
