"story","onset_event","duration_event","MN_event"
"emoDMO",34.39446851,1.778969387,4.577777778
"emoDMO",36.1734379,1.531743912,4.576719577
"emoDMO",49.05615584,2.000320506,4.477777778
"emoDMO",56.0671983,1.467454514,4.777777778
"emoDMO",58.52774905,1.39281958,4.931216931
"emoDMO",60.4855249,1.533308868,4.907407408
"emoDMO",62.01883377,1.166067492,4.488888889
"emoDMO",63.18490126,0.981946726,4.681481482
"emoDMO",65.25141226,1.968947307,4.024691358
"emoDMO",67.65223768,1.119524012,4.24691358
"emoDMO",72.36358194,1.610262814,4.082417582
"emoDMO",79.05439317,1.972874482,4.247863248
"emoDMO",82.51549377,1.596112682,4.038461539
"emoDMO",84.82352324,0.720344823,4.115384615
"emoDMO",104.6191462,0.860435468,4.115384615
"emoDMO",106.8436775,0.709730704,4.596153846
"emoDMO",107.611432,1.467799773,4.538461538
"emoDMO",197.0277058,2.240892057,4.095
"emoDMO",199.7868078,0.938288049,4.36
"emoDMO",206.4718934,1.361437562,4.816
"emoDMO",208.1891133,1.556870444,4.794285714
"emoDMO",213.8256083,1.797259587,4.846666667
"emoDMO",216.5486041,1.869089758,4.706666667
"emoDMO",230.5837357,0.632955249,4.04
"emoDMO",236.1014928,1.9756412,4.493333333
"emoDMO",238.8858173,0.651256524,4.48
"emoDMO",265.5973701,0.679303565,4.185185185
"emoDMO",266.6800101,0.826421801,4.259259259
"emoDMO",397.0033864,1.854905497,4.014814815
"emoDM2V",35.17959009,1.725557849,4.577777778
"emoDM2V",36.97758772,1.499273144,4.576719577
"emoDM2V",48.66533132,1.696292906,4.481481481
"emoDM2V",56.1159461,1.256720582,4.777777778
"emoDM2V",58.42805313,1.317087073,4.938271605
"emoDM2V",60.32985255,1.5519676,4.907407408
"emoDM2V",62.68503656,0.520249393,4.481481481
"emoDM2V",63.65090042,0.840827473,4.685185186
"emoDM2V",65.48217257,1.784272493,4.027777778
"emoDM2V",67.38827562,1.150256044,4.24691358
"emoDM2V",73.02717882,1.771482112,4.082417582
"emoDM2V",79.24395946,1.758115286,4.254807693
"emoDM2V",82.38416808,1.551967601,4.049450549
"emoDM2V",84.39023712,0.679397415,4.115384615
"emoDM2V",104.3941243,0.870375042,4.115384615
"emoDM2V",106.2799168,0.327076623,4.557692308
"emoDM2V",107.1107792,1.470551498,4.538461538
"emoDM2V",198.7866301,2.368365853,4.097142857
"emoDM2V",202.2254768,0.716714881,4.36
"emoDM2V",208.1456305,1.223793405,4.816
"emoDM2V",209.6734515,1.575733482,4.794285714
"emoDM2V",215.2510637,1.339038524,4.848
"emoDM2V",217.2312474,1.454283643,4.705
"emoDM2V",231.4149469,0.66842169,4.04
"emoDM2V",237.7343561,1.967947601,4.493333333
"emoDM2V",240.7104721,0.655250818,4.48
"emoDM2V",268.0428808,0.696219095,4.185185185
"emoDM2V",268.7390999,0.912528231,4.259259259
"emoDM2V",402.9600093,1.701682677,4.037037037
"emoDHO",82.2985691,1.48015778,4.11851852
"emoDHO",200.282098,1.09318227,4.2962963
"emoDHO",202.443653,0.89232649,4.51851852
"emoDHO",203.335979,2.08894103,4.64197531
"emoDHO",206.008991,1.37964871,4.93827161
"emoDHO",208.380183,2.81772899,5.15343915
"emoDHO",211.989239,1.43891763,4.39259259
"emoDHO",213.428157,1.04752943,4.60185185
"emoDHO",215.615857,2.56336403,5.02222222
"emoDHO",218.567762,3.24146814,5.1043771
"emoDHO",223.52818,1.54656641,4.032
"emoDHO",225.629021,0.65926039,4.13333333
"emoDHO",226.955225,1.15684148,4.32
"emoDHO",228.396338,3.21411549,4.428
"emoDHO",232.335199,2.38043915,4.53777778
"emoDHO",235.146984,1.78874923,4.56
"emoDHO",239.806667,1.91726353,4.22285714
"emoDHO",241.817224,2.36918058,4.52
"emoDHO",245.081915,3.35122539,4.4
"emoDHO",248.536313,1.53440644,4.52
"emoDHO",257.498608,1.48450502,4.82857143
"emoDHO",259.082178,1.01057278,4.96
"emoDHO",260.495489,2.19487214,4.93333333
"emoDHO",262.950853,1.38153221,4.88
"emoDHO",294.18018,2.62857247,4.11538462
"emoDHO",339.484111,1.43290596,4.01282051
"emoDHO",340.955526,1.47597486,4.03296703
"emoDHO",374.161145,1.50696755,4.07692308
"emoDHO",376.191095,1.70067908,4.56410256
"emoDHO",378.319575,1.31190501,4.63461539
"emoDHO",383.968251,2.09699378,4.03846154
"emoDHO",430.885449,2.19933968,4.03703704
"emoDHO",433.443695,2.71108014,4.20875421
"emoDH2V",84.3923063,1.522218181,4.118518518
"emoDH2V",202.6012435,1.099711948,4.296296296
"emoDH2V",204.469914,0.69232401,4.518518519
"emoDH2V",205.3847708,1.796574986,4.650793651
"emoDH2V",208.0215642,1.169879432,4.940740741
"emoDH2V",210.3490878,2.631059643,5.154882155
"emoDH2V",214.516188,1.478841764,4.425925926
"emoDH2V",215.9950298,0.979580545,4.604938272
"emoDH2V",218.1778839,2.089599203,5.026455026
"emoDH2V",220.7490486,2.964542792,5.103703704
"emoDH2V",226.2305264,1.606003316,4.032
"emoDH2V",228.2218195,0.77870239,4.133333333
"emoDH2V",229.658069,1.205679909,4.32
"emoDH2V",231.1274914,2.840145371,4.426666667
"emoDH2V",235.4565973,2.453712623,4.555
"emoDH2V",238.2235041,1.937251048,4.56
"emoDH2V",243.2334332,2.342011133,4.24
"emoDH2V",246.0006128,2.44668247,4.52
"emoDH2V",249.3008405,3.648334763,4.4
"emoDH2V",253.3409325,1.385825443,4.52
"emoDH2V",263.2386979,1.573035507,4.846666667
"emoDH2V",264.8376367,0.960008043,4.96
"emoDH2V",265.9448225,1.875291361,4.931428571
"emoDH2V",268.3122761,1.300573251,4.88
"emoDH2V",299.3485139,2.797075891,4.129807692
"emoDH2V",343.83057,1.37688809,4.023076923
"emoDH2V",345.2798978,1.463422765,4.032967033
"emoDH2V",377.1442058,1.616724382,4.076923077
"emoDH2V",379.1539369,1.864949564,4.564102564
"emoDH2V",381.3695442,1.219403115,4.653846154
"emoDH2V",388.0553468,2.092874915,4.038461538
"emoDH2V",436.1707128,1.861558755,4.037037037
"emoDH2V",438.803865,2.781769993,4.218518518
