"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"1",1,"1: Meneer",3.1,1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,4.058168356,0.28375865,1.777777778,0.234692824,,,,,
"2",2,"2: Kuisters",3.1,1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,4,4.341927006,0.55794412,1.814814815,0.244815397,,,,,
"3",3,"3: van",3.1,1,5,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,4.912822765,0.121428251,1.703703704,0.175531872,,,,,
"4",4,"4: de",3.1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,2,5.034251016,0.04591945,1.555555556,0.111111111,,,,,
"5",5,"5: viswinkel",3.1,1,6,1,1,2,2,1,1,1,1,2,2,4,1,1,1,2,2,1,2,3,1,1,3,2,2,2,5.080170466,0.687460516,1.814814815,0.2203147,1,4.058168356,1.696510987,1.7333333336,
"6",6,"6: waar",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,6.007944228,0.120097022,1.666666667,0.13074409,,,,,
"7",8,"8: af",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,3,3,3,1,2,2,1,1,2,2,3,1,6.234009211,0.14482288,1.666666667,0.141219758,,,,,
"8",9,"9: en",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,6.37883209,0.090661477,1.62962963,0.132348372,,,,,
"9",10,"10: toe",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,6.469493568,0.121274444,1.62962963,0.132348372,,,,,
"10",11,"11: vrijdagsmiddags",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,5,3,3,1,2,2,1,1,2,2,3,2,6.590768012,0.854773836,1.777777778,0.179690564,,,,,
"11",12,"12: na",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,7.445541848,0.222532717,1.666666667,0.13074409,,,,,
"12",13,"13: school",3.1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,4,3,3,1,2,2,1,1,1,2,3,2,7.668074566,0.366178175,1.703703704,0.158472182,,,,,
"13",14,"14: gesneden",3.1,1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,3,3,4,1,2,5,1,1,1,2,3,2,8.034252741,0.578540462,2.037037037,0.24156117,,,,,
"14",15,"15: zalm",3.1,1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,2,3,4,1,2,5,1,1,2,2,3,2,8.612793203,0.28375865,2.037037037,0.235590314,,,,,
"15",16,"16: voor",3.1,1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,5,1,1,2,2,3,2,8.896551853,0.162484206,1.851851852,0.19759021,,,,,
"16",18,"18: moeder",3.1,1,3,1,2,2,2,1,1,1,1,2,2,3,1,1,6,3,4,1,2,5,1,3,3,2,3,2,9.182494463,0.204871391,2.185185185,0.250566521,,,,,
"17",19,"19: moest",3.1,1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,4,2,2,3,2,9.387365854,0.27669412,1.851851852,0.17462784,,,,,
"18",20,"20: halen",3.1,1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,2,2,2,3,2,9.664059973,0.356758801,1.777777778,0.154083388,1,6.007944228,3.783448181,1.80626780646154,
"19",21,"21: was",3.1,1,5,1,1,2,2,1,1,1,2,2,3,1,1,1,2,4,2,4,3,2,3,1,2,2,4,3,10.60169723,0.108322804,2.111111111,0.222222222,,,,,
"20",22,"22: een",3.1,1,7,1,1,2,2,1,1,1,2,2,3,3,1,1,2,4,2,4,3,5,3,1,2,2,4,3,10.71002003,0.123629287,2.37037037,0.283185724,,,,,
"21",23,"23: lange",3.1,1,7,2,1,2,2,1,1,1,2,2,3,3,3,1,3,4,2,4,3,5,3,1,2,2,4,4,10.83364932,0.432113795,2.555555556,0.279056884,,,,,
"22",24,"24: schonkige",3.1,1,7,2,1,3,2,1,1,1,2,2,3,3,3,1,1,4,2,4,3,5,3,4,4,2,4,4,11.31048784,0.655823935,2.703703704,0.286519615,,,,,
"23",25,"25: man",3.1,1,7,2,1,3,2,1,1,1,2,2,3,3,3,1,4,4,2,4,3,5,3,1,1,2,4,4,11.96631177,0.360291066,2.592592593,0.288720822,1,10.60169723,1.680180887,2.4666666668,
"24",26,"26: wiens",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,3,12.75735148,0.241371466,2.555555556,0.268653567,,,,,
"25",27,"27: gezicht",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,3,12.99872294,0.400323407,2.555555556,0.268653567,,,,,
"26",28,"28: hoofdzakelijk",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,2,2,4,4,13.39904635,0.709985337,2.592592593,0.273519112,,,,,
"27",29,"29: uit",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,1,4,3,4,3,5,3,1,3,2,4,4,14.10903169,0.20249947,2.592592593,0.278678502,,,,,
"28",30,"30: plooien",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,1,4,3,4,3,5,3,4,3,2,4,4,14.3951281,0.388549189,2.703703704,0.27639733,,,,,
"29",31,"31: bestond.",3.1,2,7,2,1,3,2,1,1,1,2,2,3,2,3,1,2,4,3,4,3,5,3,1,3,2,4,3,14.78367729,0.51922593,2.592592593,0.268260511,1,12.75735148,2.461954799,2.5987654325,
"30",32,"32: Zijn",3.1,1,5,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,3,16.13691028,0.153064832,2.296296296,0.191074446,,,,,
"31",33,"33: hoofd",3.1,1,5,2,2,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,3,3,1,2,2,3,3,16.28997512,0.324968413,2.333333333,0.19245009,,,,,
"32",34,"34: met",3.1,1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,3,16.61494353,0.160129363,2.333333333,0.213504205,,,,,
"33",35,"35: de",3.1,1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,3,3,1,2,2,3,5,16.77507289,0.03296781,2.407407407,0.23424279,,,,,
"34",36,"36: steile",3.1,1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,6,3,1,3,2,3,5,16.8080407,0.447420279,2.555555556,0.268653567,,,,,
"35",37,"37: rossige",3.1,1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,6,3,1,3,2,3,5,17.25546098,0.442710591,2.555555556,0.268653567,,,,,
"36",38,"38: kuif",3.1,1,6,2,2,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,6,3,1,3,2,3,5,17.78101769,0.359113645,2.592592593,0.268260511,,,,,
"37",39,"39: hing",3.1,1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,1,3,2,4,3,6,3,1,2,2,3,4,18.46242043,0.170726159,2.222222222,0.234692824,,,,,
"38",40,"40: wat",3.1,1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,18.63314659,0.108322804,2.185185185,0.19272404,,,,,
"39",41,"41: naar",3.1,1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,18.7414694,0.136580927,2.185185185,0.19272404,,,,,
"40",42,"42: voren",3.1,1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,18.87805032,0.429758952,2.185185185,0.19272404,,,,,
"41",43,"43: tussen",3.1,1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,4,3,1,2,2,3,5,19.5845034,0.201463149,2.259259259,0.210768453,,,,,
"42",44,"44: zijn",3.1,1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,2,3,2,4,3,4,3,1,2,2,3,5,19.78596654,0.191919751,2.296296296,0.212265052,,,,,
"43",45,"45: opgetrokken",3.1,1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,3,3,2,4,3,4,3,4,3,2,3,5,20.01320895,0.531017225,2.481481481,0.215961181,,,,,
"44",46,"46: schouders.",3.1,1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,4,3,2,4,3,4,3,2,3,2,3,5,20.54422617,0.594598002,2.444444444,0.215716743,1,16.13691028,4.284761902,2.3555555554,
"45",47,"47: Hij",3.1,1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,22.00049211,0.090661477,2.518518519,0.215961181,,,,,
"46",48,"48: sneed",3.1,1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,4,22.09115359,0.347339427,2.666666667,0.272165527,,,,,
"47",49,"49: de",3.1,1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,22.43849301,0.04591945,2.62962963,0.267669845,,,,,
"48",50,"50: zalm",3.1,1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,1,4,2,4,4,4,4,1,2,2,4,3,22.48441246,0.269629589,2.555555556,0.273904622,,,,,
"49",51,"51: met",3.1,1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,4,4,1,2,2,4,3,22.75404205,0.241371466,2.481481481,0.215961181,,,,,
"50",52,"52: een",3.1,1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,5,4,1,2,2,4,3,22.99541352,0.13187124,2.518518519,0.228773332,,,,,
