"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1","1: Meneer","3.1",1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.058168356","0.28375865",1.77777777777778
"3","3: van","3.1",1,5,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.912822765","0.121428251",1.7037037037037
"6","6: waar","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"6.007944228","0.120097022",1.66666666666667
"7","7: ik","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"mismatch","mismatch",1.62962962962963
"8","8: af","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,3,3,3,1,2,2,1,1,2,2,3,1,"6.234009211","0.14482288",1.66666666666667
"9","9: en","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.37883209","0.090661477",1.62962962962963
"10","10: toe","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.469493568","0.121274444",1.62962962962963
"11","11: vrijdagsmiddags","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,5,3,3,1,2,2,1,1,2,2,3,2,"6.590768012","0.854773836",1.77777777777778
"12","12: na","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"7.445541848","0.222532717",1.66666666666667
"14","14: gesneden","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,3,3,4,1,2,5,1,1,1,2,3,2,"8.034252741","0.578540462",2.03703703703704
"15","15: zalm","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,2,3,4,1,2,5,1,1,2,2,3,2,"8.612793203","0.28375865",2.03703703703704
"16","16: voor","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,5,1,1,2,2,3,2,"8.896551853","0.162484206",1.85185185185185
"17","17: mijn","3.1",1,3,1,2,2,2,1,1,1,1,2,2,3,1,1,3,3,4,1,2,5,1,3,2,2,3,2,"mismatch","mismatch",2.03703703703704
"18","18: moeder","3.1",1,3,1,2,2,2,1,1,1,1,2,2,3,1,1,6,3,4,1,2,5,1,3,3,2,3,2,"9.182494463","0.204871391",2.18518518518519
"19","19: moest","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,4,2,2,3,2,"9.387365854","0.27669412",1.85185185185185
"20","20: halen","3.1",1,3,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,4,1,2,2,1,2,2,2,3,2,"9.664059973","0.356758801",1.77777777777778
