X,word,qnLabel,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Onset,Duration,MN,SE,marker_event,onset_event,duration_event,MN_event,SE_event
1693,1: Met,24.1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,3,3.119262056,0.147074723,1.814814815,0.16910218,,,,,
1695,3: wijsvinger,24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,4,3.400240631,0.575128022,2,0.213504205,,,,,
1696,4: scharrel,24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,4,3.975368653,0.482931927,2.259259259,0.230152882,,,,,
1698,6: behoedzaam,24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,5,4.628424327,0.657065473,2.296296296,0.243518925,,,,,
1699,7: het,24.1,1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,5.31951455,0.129513562,2.259259259,0.230152882,,,,,
1700,8: laatste,24.1,1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,5,5.449028112,0.384150396,2.333333333,0.250355872,,,,,
1701,9: restje,24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,5.833178508,0.363296518,2.407407407,0.240247138,,,,,
1702,10: uit,24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,6.196475026,0.162245006,2.37037037,0.233566112,,,,,
1703,11: een,24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,6.358720032,0.124025699,2.37037037,0.233566112,,,,,
1704,12: blik.,24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,6.482745731,0.280978576,2.407407407,0.240247138,1,3.119262056,3.306409902,2.251851852,
1706,14: oren,24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,4,7.73515194,0.345735357,2.111111111,0.187450532,,,,,
1707,15: registreren,24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,8.080887297,0.653055674,2.074074074,0.176431273,,,,,
1708,16: de,24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,8.73394297,0.09000095,2.074074074,0.176431273,,,,,
