"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1693","1: Met","24.1",1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,3,"3.233224844","0.192075198",1.81481481481481
"1694","2: mijn","24.1",1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,3,"3.425300042","0.17561161",1.81481481481481
"1695","3: wijsvinger","24.1",1,1,1,2,2,1,1,2,1,5,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,4,"3.600911652","0.619030924",2
"1696","4: scharrel","24.1",1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,4,"4.219942577","0.490614935",2.25925925925926
"1697","5: ik","24.1",1,1,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,"4.710557511","0.138294143",2.14814814814815
"1698","6: behoedzaam","24.1",1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,5,"4.848851654","0.607859466",2.2962962962963
"1699","7: het","24.1",1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,"5.45671112","0.116342691",2.25925925925926
"1700","8: laatste","24.1",1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,5,"5.573053811","0.418175146",2.33333333333333
"1701","9: restje","24.1",1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,"5.991228957","0.341431958",2.40740740740741
"1702","10: uit","24.1",1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,"6.332660915","0.194270343",2.37037037037037
"1703","11: een","24.1",1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,"6.526931258","0.120635115",2.37037037037037
"1704","12: blik.","24.1",1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,"6.647566373","0.272197995",2.40740740740741
"1705","13: Mijn","24.1",1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,"8.131277768","0.114147546",2.07407407407407
"1706","14: oren","24.1",1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,4,"8.245425314","0.383052824",2.11111111111111
"1707","15: registreren","24.1",1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,"8.628478138","0.622682183",2.07407407407407
"1708","16: de","24.1",1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,"9.251160321","0.070983675",2.07407407407407
"1709","17: vertrouwde","24.1",1,1,3,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,4,"9.322143997","0.490973476",2.18518518518519
"1710","18: geluiden.","24.1",1,1,3,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,5,"9.813117472","0.537810555",2.22222222222222
"1711","19: Het","24.1",1,5,2,2,2,1,1,2,1,2,2,4,2,1,1,1,4,2,2,4,2,2,1,3,2,2,3,"10.8714381","0.120732982",2.11111111111111
"1712","20: sissen","24.1",1,5,2,2,2,1,1,2,1,2,2,4,2,2,1,1,4,2,2,4,2,2,1,3,2,2,5,"10.99217108","0.356711082",2.22222222222222
"1713","21: van","24.1",1,5,2,2,2,1,1,2,1,2,2,4,2,2,1,1,4,2,2,4,2,2,1,3,2,2,5,"11.34888216","0.148172296",2.22222222222222
"1714","22: het","24.1",1,5,2,2,2,1,1,2,1,2,2,4,2,2,1,1,4,2,2,4,2,2,1,3,2,2,5,"11.49705446","0.126220844",2.22222222222222
"1715","23: water","24.1",1,5,2,2,2,1,1,2,1,2,2,4,2,2,1,1,4,2,2,4,2,2,1,3,2,2,5,"11.6232753","0.377564961",2.22222222222222
"1716","24: in","24.1",1,4,2,2,2,1,1,2,1,2,2,4,2,1,1,1,4,2,2,4,2,2,1,3,2,2,5,"12.00084026","0.090902565",2.14814814814815
"1717","25: de","24.1",1,4,2,2,2,1,1,2,1,2,2,4,2,1,1,1,4,2,2,4,2,2,1,3,2,2,5,"12.09174283","0.069147071",2.14814814814815
"1718","26: toiletten.","24.1",1,4,2,2,2,1,1,2,1,2,2,4,2,1,1,1,4,2,2,4,2,2,1,3,2,2,5,"12.1608899","0.538908127",2.14814814814815
"1719","27: De","24.1",1,3,2,3,2,1,1,2,1,4,4,4,3,3,1,4,4,3,2,4,2,2,1,3,2,2,3,"13.3528537","0.054769787",2.48148148148148
"1720","28: kinderkreten","24.1",1,5,2,3,2,1,1,2,1,4,4,4,3,3,1,4,4,3,2,4,2,2,1,3,2,2,5,"13.46579483","0.66842169",2.62962962962963
"1721","29: in","24.1",1,5,2,3,2,1,1,2,1,4,4,4,3,1,1,4,4,3,2,4,2,2,1,3,2,2,3,"14.13421652","0.109757256",2.48148148148148
"1722","30: de","24.1",1,5,2,3,2,1,1,2,1,4,4,4,3,1,1,4,4,3,2,4,2,2,1,3,2,2,3,"14.24397378","0.09439124",2.48148148148148
"1723","31: flat","24.1",1,5,2,3,2,1,1,2,1,4,4,4,3,1,1,4,4,3,2,4,2,2,1,3,2,2,3,"14.33836502","0.363296518",2.48148148148148
"1724","32: boven","24.1",1,3,2,3,2,1,1,2,1,4,4,4,3,1,1,4,4,3,2,4,2,2,1,3,2,2,3,"14.7751989","0.253897578",2.40740740740741
"1726","34: hoofd.","24.1",1,3,2,3,2,1,1,2,1,4,4,4,3,1,1,4,4,3,2,4,2,2,1,3,2,2,3,"15.14982945","0.451102322",2.40740740740741
"1727","35: De","24.1",1,2,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"16.4098208","0.048293193",2.22222222222222
"1728","36: buitendeur","24.1",1,2,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"16.458114","0.490614935",2.22222222222222
"1729","37: die","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"16.94872893","0.097683958",2.2962962962963
"1730","38: drie","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.04641289","0.276588285",2.2962962962963
"1731","39: verdiepingen","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.32300118","0.409394565",2.2962962962963
"1732","40: lager","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.73239574","0.393289518",2.2962962962963
"1733","41: in","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,2,1,2,4,2,2,4,2,2,1,3,2,2,4,"18.12568526","0.115245119",2.33333333333333
