"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"1",1693,"1: Met",24.1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,3,3.233224844,0.192075198,1.814814815,0.16910218,,,,,
"2",1694,"2: mijn",24.1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,3,3.425300042,0.17561161,1.814814815,0.16910218,,,,,
"3",1695,"3: wijsvinger",24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,1,2,2,4,3,1,2,2,3,1,3,2,2,4,3.600911652,0.619030924,2,0.213504205,,,,,
"4",1696,"4: scharrel",24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,4,4.219942577,0.490614935,2.259259259,0.230152882,,,,,
"5",1697,"5: ik",24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,4.710557511,0.138294143,2.148148148,0.224583842,,,,,
"6",1698,"6: behoedzaam",24.1,1,1,1,2,2,1,1,2,1,5,1,3,1,3,4,2,4,3,4,2,2,3,1,3,2,2,5,4.848851654,0.607859466,2.296296296,0.243518925,,,,,
"7",1699,"7: het",24.1,1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,5.45671112,0.116342691,2.259259259,0.230152882,,,,,
"8",1700,"8: laatste",24.1,1,4,1,2,2,1,1,2,1,5,1,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,5,5.573053811,0.418175146,2.333333333,0.250355872,,,,,
"9",1701,"9: restje",24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,5.991228957,0.341431958,2.407407407,0.240247138,,,,,
"10",1702,"10: uit",24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,6.332660915,0.194270343,2.37037037,0.233566112,,,,,
"11",1703,"11: een",24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,3,6.526931258,0.120635115,2.37037037,0.233566112,,,,,
"12",1704,"12: blik.",24.1,1,4,1,2,2,1,1,2,1,5,4,3,1,1,4,2,4,3,4,2,2,3,1,3,2,2,4,6.647566373,0.272197995,2.407407407,0.240247138,1,3.233224844,3.686539524,2.20679012325,
"13",1705,"13: Mijn",24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,8.131277768,0.114147546,2.074074074,0.176431273,,,,,
"14",1706,"14: oren",24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,4,8.245425314,0.383052824,2.111111111,0.187450532,,,,,
"15",1707,"15: registreren",24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,8.628478138,0.622682183,2.074074074,0.176431273,,,,,
"16",1708,"16: de",24.1,1,1,1,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,3,9.251160321,0.070983675,2.074074074,0.176431273,,,,,
"17",1709,"17: vertrouwde",24.1,1,1,3,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,4,9.322143997,0.490973476,2.185185185,0.185185185,,,,,
"18",1710,"18: geluiden.",24.1,1,1,3,3,2,1,1,2,1,2,3,3,1,2,2,3,4,2,2,4,2,2,1,3,2,2,5,9.813117472,0.537810555,2.222222222,0.202078469,1,8.131277768,2.219650259,2.12345679,
