"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Onset","Duration"
"1","1: Meneer","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","4.058168356","0.28375865"
"2","2: Kuisters","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","4.341927006","0.55794412"
"3","3: van","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","4.912822765","0.121428251"
"4","4: de","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","5.034251016","0.04591945"
"5","5: viswinkel","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","5.080170466","0.687460516"
"6","6: waar","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","6.007944228","0.120097022"
"8","8: af","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","6.234009211","0.14482288"
"9","9: en","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","6.37883209","0.090661477"
"10","10: toe","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","6.469493568","0.121274444"
"11","11: vrijdagsmiddags","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","6.590768012","0.854773836"
"12","12: na","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","7.445541848","0.222532717"
"13","13: school","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","7.668074566","0.366178175"
"14","14: gesneden","3.1","1","1","1","1","1","1","2","1","1","1","1","1","2","8.034252741","0.578540462"
"15","15: zalm","3.1","1","1","1","1","1","1","2","1","1","1","1","1","2","8.612793203","0.28375865"
"16","16: voor","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","8.896551853","0.162484206"
"18","18: moeder","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","9.182494463","0.204871391"
"19","19: moest","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","9.387365854","0.27669412"
"20","20: halen","3.1","1","1","1","1","1","1","2","1","1","1","1","1","1","9.664059973","0.356758801"
"21","21: was","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","10.60169723","0.108322804"
"22","22: een","3.1","1","1","2","1","1","1","2","2","1","2","2","1","1","10.71002003","0.123629287"
"23","23: lange","3.1","2","1","2","1","1","1","2","2","2","2","2","2","2","10.83364932","0.432113795"
"24","24: schonkige","3.1","2","2","2","1","2","2","2","2","2","2","2","2","2","11.31048784","0.655823935"
"25","25: man","3.1","1","2","2","1","1","2","2","2","2","2","2","2","2","11.96631177","0.360291066"
"26","26: wiens","3.1","1","2","2","2","1","2","2","2","2","2","2","2","1","12.75735148","0.241371466"
"27","27: gezicht","3.1","1","2","2","2","1","2","2","2","2","2","2","2","1","12.99872294","0.400323407"
"28","28: hoofdzakelijk","3.1","1","2","2","2","1","2","2","2","2","2","2","2","2","13.39904635","0.709985337"
"29","29: uit","3.1","1","2","2","2","1","2","2","2","2","2","2","2","2","14.10903169","0.20249947"
"30","30: plooien","3.1","1","2","2","2","2","2","2","2","2","2","2","2","2","14.3951281","0.388549189"
"31","31: bestond.","3.1","1","2","2","2","1","2","2","2","2","2","2","2","1","14.78367729","0.51922593"
"33","33: hoofd","3.1","1","1","2","1","1","1","2","1","1","2","2","2","1","16.28997512","0.324968413"
"34","34: met","3.1","1","1","2","1","1","1","2","1","1","2","2","2","1","16.61494353","0.160129363"
"35","35: de","3.1","1","1","2","1","1","1","2","1","1","2","2","2","1","16.77507289","0.03296781"
"36","36: steile","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","16.8080407","0.447420279"
"37","37: rossige","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","17.25546098","0.442710591"
"38","38: kuif","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","17.78101769","0.359113645"
"39","39: hing","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","18.46242043","0.170726159"
"40","40: wat","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","18.63314659","0.108322804"
"41","41: naar","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","18.7414694","0.136580927"
"42","42: voren","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","18.87805032","0.429758952"
"43","43: tussen","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","19.5845034","0.201463149"
"44","44: zijn","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","19.78596654","0.191919751"
"45","45: opgetrokken","3.1","2","1","2","1","1","2","2","1","1","2","2","2","2","20.01320895","0.531017225"
"46","46: schouders.","3.1","1","1","2","1","1","2","2","1","1","2","2","2","2","20.54422617","0.594598002"
"48","48: sneed","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","22.09115359","0.347339427"
"49","49: de","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","22.43849301","0.04591945"
"50","50: zalm","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","22.48441246","0.269629589"
"51","51: met","3.1","1","1","2","1","1","2","2","1","1","1","2","1","1","22.75404205","0.241371466"
"52","52: een","3.1","1","1","2","1","1","2","2","1","1","2","2","1","2","22.99541352","0.13187124"
"53","53: smal","3.1","2","1","2","1","1","2","2","2","2","2","2","1","2","23.12728476","0.479210667"
"54","54: in","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","23.60649543","0.12463605"
"55","55: het","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","23.73113148","0.162484206"
"56","56: midden","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","23.89361568","0.261387636"
"57","57: uitgesleten","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","24.15500332","0.932654334"
"58","58: mes","3.1","1","2","2","1","1","2","2","2","2","2","2","1","2","25.08765765","0.350410947"
"59","59: nam","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","26.20189087","0.161306785"
"60","60: de","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","26.36319766","0.071822729"
"61","61: plakjes","3.1","1","1","2","1","1","1","2","1","2","1","2","1","1","26.49624632","0.354403957"
"62","62: tussen","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","26.85065028","0.314371617"
"63","63: duim","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","27.18280265","0.253145684"
"64","64: en","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","27.43594833","0.143645458"
"65","65: wijsvinger","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","27.57959379","0.618146437"
"66","66: en","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","28.7042873","0.104790539"
"67","67: legde","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","28.80907784","0.241371466"
"68","68: ze","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","29.0504493","0.140113192"
"69","69: behoedzaam","3.1","2","1","2","1","1","1","2","1","2","2","2","2","2","29.1905625","0.567517301"
"70","70: op","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","29.7580798","0.163661628"
"71","71: elkaar.","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","29.92174143","0.412967883"
"73","73: handen","3.1","1","1","2","1","1","1","2","2","1","1","2","2","1","31.84160415","0.255500527"
"74","74: waren","3.1","1","1","2","1","1","1","2","2","1","1","2","2","1","32.09710468","0.26374248"
"75","75: paarsachtig","3.1","2","1","2","1","1","1","2","2","2","2","2","2","2","32.44326669","0.620501281"
"76","76: rood","3.1","2","1","2","1","1","1","2","2","2","2","2","2","2","33.06376797","0.447556783"
"77","77: en","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","34.01507354","0.090661477"
"78","78: er","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","34.10573502","0.068290464"
"79","79: kleefden","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","34.23054173","0.306129664"
"80","80: schubben","3.1","1","1","2","2","2","1","2","2","1","2","2","2","1","34.53667139","0.341452318"
"81","81: aan.","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","34.87812371","0.288468337"
"83","83: keer","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.48216462","0.256677949"
"84","84: vroeg","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.73884256","0.222532717"
"85","85: hij","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.96137528","0.134226084"
"87","87: of","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.40290845","0.116564757"
"89","89: met","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.61291589","0.226064983"
"90","90: Tonia","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.83898088","0.350871692"
"91","91: wilde","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","38.18985257","0.2107585"
"92","92: spelen.","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","38.40061107","0.495080245"
"94","94: zei","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.16153894","0.145095888"
"95","95: dan","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.30663482","0.134226084"
"96","96: dat","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.44086091","0.159607592"
"98","98: niet","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.65757346","0.18316719"
"99","99: kon","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.87253103","0.248435997"
"100","100: omdat","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.12096703","0.231952092"
"101","101: ze","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.35291912","0.080064681"
"102","102: thuis","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.48596779","0.253145684"
"103","103: op","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.73911347","0.084313398"
"104","104: de","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.82342687","0.091838899"
"105","105: zalm","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","41.91526577","0.306129664"
"106","106: zaten","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","42.22139543","0.303774821"
"107","107: te","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","42.52517025","0.049451715"
"108","108: wachten.","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","42.57462197","0.396483753"
"189","1: Maar","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","44.2788627","0.310395684"
"190","2: op","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","44.58925839","0.048717961"
"191","3: een","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","44.63797635","0.090661477"
"192","4: dag","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","44.72863782","0.259032793"
"193","5: kon","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","44.98767062","0.149532567"
"196","8: niet","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","45.35738106","0.224887561"
"197","9: onderuit.","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","45.58226862","0.47450098"
"198","10: Het","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","46.7427116","0.130693818"
"199","11: was","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","46.87340542","0.147177723"
"200","12: druk","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","47.02058314","0.304952242"
"201","13: in","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","47.32553538","0.120097022"
"202","14: de","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","47.44563241","0.089484056"
"203","15: winkel.","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","47.53511646","0.381484659"
"204","16: Zodra","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","48.38547092","0.363823332"
"205","17: meneer","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","48.74929425","0.254323106"
