"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1","1: Meneer","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4.037728319","0.261222269",1.03703703703704
"2","2: Kuisters","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4.356024362","0.621226069",1.03703703703704
"3","3: van","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4.977250431","0.127318417",1.03703703703704
"4","4: de","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5.104568848","0.076830079",1
"5","5: viswinkel","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5.181398928","0.698056149",1.03703703703704
"6","6: waar","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"6.338240407","0.118537837",1.11111111111111
"7","7: ik","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"6.456778243","0.103171821",1
"8","8: af","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"6.559950064","0.151465013",1.11111111111111
"9","9: en","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"6.711415077","0.100976676",1.11111111111111
"10","10: toe","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"6.812391753","0.109757256",1.11111111111111
"11","11: vrijdagsmiddags","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"6.922149009","0.800119197",1.11111111111111
"12","12: na","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,"7.722268206","0.212929077",1.11111111111111
"13","13: school","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"7.935197283","0.27439314",1.07407407407407
"14","14: gesneden","3.1",1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,"8.209590423","0.505230944",1.14814814814815
"15","15: zalm","3.1",1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,"8.714821367","0.357808655",1.14814814814815
"16","16: voor","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"9.072630022","0.114147546",1.07407407407407
"17","17: mijn","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"9.186777568","0.149269868",1.07407407407407
"18","18: moeder","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"9.336047437","0.208538787",1.07407407407407
"19","19: moest","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"9.544586223","0.228295093",1.07407407407407
"20","20: halen","3.1",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"9.772881316","0.390735832",1.07407407407407
"21","21: was","3.1",1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,"10.83987368","0.118537837",1.22222222222222
"22","22: een","3.1",1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,"10.95841151","0.08561066",1.2962962962963
"23","23: lange","3.1",2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,"11.04402217","0.428053299",1.59259259259259
"24","24: schonkige","3.1",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,"11.7750055","0.63000665",1.92592592592593
"25","25: man","3.1",1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,"12.40501215","0.401711557",1.7037037037037
"26","26: wiens","3.1",1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,"12.83526059","0.291954301",1.77777777777778
"27","27: gezicht","3.1",1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,"13.12721489","0.425858154",1.77777777777778
"28","28: hoofdzakelijk","3.1",1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,"13.55307305","0.71339999",1.81481481481481
"29","29: uit","3.1",1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,"14.26647304","0.206343641",1.81481481481481
"30","30: plooien","3.1",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,"14.53867103","0.344637784",1.92592592592593
"31","31: bestond.","3.1",1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,"14.88330882","0.526834829",1.77777777777778
"32","32: Zijn","3.1",1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,"16.45444553","0.144879578",1.37037037037037
"33","33: hoofd","3.1",1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,"16.5993251","0.346832929",1.37037037037037
"34","34: met","3.1",1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,"16.94615803","0.145710839",1.40740740740741
"35","35: de","3.1",1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,"17.09186887","0.037317467",1.40740740740741
"36","36: steile","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,"17.12918634","0.508176096",1.74074074074074
"37","37: rossige","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,"17.63736244","0.446712032",1.74074074074074
"38","38: kuif","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,"18.17534677","0.384150396",1.74074074074074
"39","39: hing","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"18.89261044","0.164635884",1.40740740740741
"40","40: wat","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"19.05724633","0.158050449",1.40740740740741
