"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE"
"1693","1: Met","24.1",2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,"3.233224844","0.192075198",1.44444444444444,0.0974508910341144
"1694","2: mijn","24.1",2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,"3.425300042","0.17561161",1.48148148148148,0.0979907892986885
"1695","3: wijsvinger","24.1",2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,"3.600911652","0.619030924",1.51851851851852,0.0979907892986885
"1696","4: scharrel","24.1",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"4.219942577","0.490614935",1.96296296296296,0.037037037037037
"1697","5: ik","24.1",2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,"4.710557511","0.138294143",1.66666666666667,0.0924500327042048
"1698","6: behoedzaam","24.1",2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,"4.848851654","0.607859466",1.81481481481481,0.076180865852541
"1699","7: het","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.45671112","0.116342691",1.51851851851852,0.0979907892986885
"1700","8: laatste","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.573053811","0.418175146",1.51851851851852,0.0979907892986885
"1701","9: restje","24.1",1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"5.991228957","0.341431958",1.51851851851852,0.0979907892986885
"1702","10: uit","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.332660915","0.194270343",1.48148148148148,0.0979907892986885
"1703","11: een","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.526931258","0.120635115",1.48148148148148,0.0979907892986885
"1704","12: blik.","24.1",1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,"6.647566373","0.272197995",1.48148148148148,0.0979907892986885
"1705","13: Mijn","24.1",1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,"8.131277768","0.114147546",1.33333333333333,0.0924500327042048
"1706","14: oren","24.1",1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,"8.245425314","0.383052824",1.33333333333333,0.0924500327042048
"1707","15: registreren","24.1",2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,"8.628478138","0.622682183",1.66666666666667,0.0924500327042048
"1708","16: de","24.1",2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,"9.251160321","0.070983675",1.44444444444444,0.0974508910341144
"1709","17: vertrouwde","24.1",2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,"9.322143997","0.490973476",1.51851851851852,0.0979907892986885
"1710","18: geluiden.","24.1",2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,"9.813117472","0.537810555",1.48148148148148,0.0979907892986885
"1711","19: Het","24.1",2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,"10.8714381","0.120732982",1.59259259259259,0.0963620200871098
"1712","20: sissen","24.1",2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,"10.99217108","0.356711082",1.74074074074074,0.0859436075726402
"1713","21: van","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.34888216","0.148172296",1.59259259259259,0.0963620200871098
"1714","22: het","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.49705446","0.126220844",1.59259259259259,0.0963620200871098
"1715","23: water","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.6232753","0.377564961",1.59259259259259,0.0963620200871098
"1716","24: in","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"12.00084026","0.090902565",1.51851851851852,0.0979907892986885
"1717","25: de","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"12.09174283","0.069147071",1.51851851851852,0.0979907892986885
"1718","26: toiletten.","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"12.1608899","0.538908127",1.51851851851852,0.0979907892986885
"1719","27: De","24.1",2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,1,"13.3528537","0.054769787",1.48148148148148,0.0979907892986885
"1720","28: kinderkreten","24.1",2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,"13.46579483","0.66842169",1.62962962962963,0.0947052429549553
"1721","29: in","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.13421652","0.109757256",1.37037037037037,0.0947052429549553
"1722","30: de","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.24397378","0.09439124",1.37037037037037,0.0947052429549553
"1723","31: flat","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.33836502","0.363296518",1.37037037037037,0.0947052429549553
"1724","32: boven","24.1",1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.7751989","0.253897578",1.40740740740741,0.0963620200871098
"1725","33: mijn","24.1",1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"15.02909647","0.120732982",1.40740740740741,0.0963620200871098
"1726","34: hoofd.","24.1",1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"15.14982945","0.451102322",1.40740740740741,0.0963620200871098
"1727","35: De","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"16.4098208","0.048293193",1.2962962962963,0.0895511888632576
